Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,15947.4404296875,16069.3798828125,15943.16015625,16020.73046875,16020.73046875,56865800
2022-01-04,16069.7998046875,16202.580078125,16036.51953125,16152.6103515625,16152.6103515625,75187400
2022-01-05,16177.4404296875,16285.349609375,16161.7197265625,16271.75,16271.75,68244500
2022-01-06,16076.16015625,16156.5595703125,15988.6298828125,16052.0302734375,16052.0302734375,75756700
2022-01-07,15999.01953125,16044.2802734375,15862.7099609375,15947.740234375,15947.740234375,74469300
2022-01-10,16006.4404296875,16015.33984375,15724.23046875,15768.26953125,15768.26953125,82834300
2022-01-11,15918.8203125,15979.990234375,15880.3896484375,15941.8095703125,15941.8095703125,74622100
2022-01-12,16054.9296875,16061.5,15955.5400390625,16010.3203125,16010.3203125,69357000
2022-01-13,15959.830078125,16090.2900390625,15941.7802734375,16031.58984375,16031.58984375,72976100
2022-01-14,15929.3701171875,15970.7001953125,15833.73046875,15883.240234375,15883.240234375,80457700
2022-01-17,15948.900390625,15962.7001953125,15894.76953125,15933.7197265625,15933.7197265625,46576400
2022-01-18,15839.150390625,15843.580078125,15669.349609375,15772.5595703125,15772.5595703125,70557600
2022-01-19,15639.4501953125,15898.0498046875,15629.8603515625,15809.7197265625,15809.7197265625,74923900
2022-01-20,15837.240234375,15912.330078125,15737.330078125,15912.330078125,15912.330078125,62979800
2022-01-21,15694.8203125,15728.2900390625,15456.8701171875,15603.8798828125,15603.8798828125,105899500
2022-01-24,15499.6103515625,15587.3896484375,14952.669921875,15011.1298828125,15011.1298828125,115815500
2022-01-25,15139.0703125,15205.75,14979.1103515625,15123.8701171875,15123.8701171875,86066500
2022-01-26,15273.0595703125,15524.9599609375,15272.8701171875,15459.3896484375,15459.3896484375,82970700
2022-01-27,15229.98046875,15582.4501953125,15197.5302734375,15524.26953125,15524.26953125,105993600
2022-01-28,15411.8603515625,15416.58984375,15122.650390625,15318.9501953125,15318.9501953125,91381200
2022-01-31,15506.7900390625,15566.3798828125,15338.1904296875,15471.2001953125,15471.2001953125,88305600
2022-02-01,15620.5595703125,15687.9599609375,15537.0498046875,15619.3896484375,15619.3896484375,74929400
2022-02-02,15689.16015625,15736.51953125,15604.990234375,15613.76953125,15613.76953125,66319500
2022-02-03,15565.9404296875,15602.5,15367.16015625,15368.4697265625,15368.4697265625,104951100
2022-02-04,15410.73046875,15423.9404296875,15060.48046875,15099.5595703125,15099.5595703125,93799100
2022-02-07,15220.080078125,15256.080078125,15076.8896484375,15206.6396484375,15206.6396484375,71120600
2022-02-08,15221.7001953125,15338.0,15158.7998046875,15242.3798828125,15242.3798828125,80957900
2022-02-09,15356.9501953125,15513.9404296875,15351.48046875,15482.009765625,15482.009765625,85342900
2022-02-10,15597.0595703125,15614.4697265625,15413.3701171875,15490.4404296875,15490.4404296875,94694700
2022-02-11,15353.8603515625,15511.33984375,15308.6904296875,15425.1201171875,15425.1201171875,100055100
2022-02-14,15065.73046875,15150.5400390625,14844.099609375,15113.9697265625,15113.9697265625,119705200
2022-02-15,15077.3203125,15418.41015625,15068.330078125,15412.7099609375,15412.7099609375,83214500
2022-02-16,15431.26953125,15542.83984375,15374.0,15396.0703125,15396.0703125,31633100
2022-02-17,15404.1396484375,15440.080078125,15206.400390625,15267.6298828125,15267.6298828125,78678300
2022-02-18,15278.66015625,15317.3896484375,14989.0498046875,15042.509765625,15042.509765625,87529800
2022-02-21,15186.6298828125,15192.4697265625,14617.66015625,14731.1201171875,14731.1201171875,78145800
2022-02-22,14365.0595703125,14782.16015625,14357.8603515625,14693.0,14693.0,115316300
2022-02-23,14754.2197265625,14901.08984375,14586.349609375,14631.3603515625,14631.3603515625,89094500
2022-02-24,13989.41015625,14221.7099609375,13807.2802734375,14052.099609375,14052.099609375,219860100
2022-02-25,14230.08984375,14567.6201171875,14027.9296875,14567.23046875,14567.23046875,160377100
2022-02-28,14263.73046875,14510.76953125,14106.8896484375,14461.01953125,14461.01953125,160848700
2022-03-01,14404.2197265625,14448.6103515625,13904.849609375,13904.849609375,13904.849609375,145245900
2022-03-02,13836.9296875,14114.7900390625,13707.8603515625,14000.1103515625,14000.1103515625,158825300
2022-03-03,13990.25,14057.150390625,13669.099609375,13698.400390625,13698.400390625,118913500
2022-03-04,13485.98046875,13562.599609375,13094.5400390625,13094.5400390625,13094.5400390625,178566000
2022-03-07,12614.080078125,13150.349609375,12438.849609375,12834.650390625,12834.650390625,192412700
2022-03-08,12673.8896484375,13106.7802734375,12672.0,12831.509765625,12831.509765625,172923800
2022-03-09,13215.0595703125,13847.9296875,13199.6796875,13847.9296875,13847.9296875,177828900
2022-03-10,13819.4404296875,13829.9697265625,13341.7900390625,13442.099609375,13442.099609375,148856700
2022-03-11,13479.6904296875,13943.9697265625,13407.9697265625,13628.1103515625,13628.1103515625,130836100
2022-03-14,13827.2197265625,14082.0595703125,13815.7998046875,13929.1103515625,13929.1103515625,118949300
2022-03-15,13768.4404296875,13974.83984375,13577.8095703125,13917.26953125,13917.26953125,101279000
2022-03-16,14245.76953125,14553.099609375,14183.259765625,14440.740234375,14440.740234375,138610100
2022-03-17,14500.0498046875,14509.23046875,14243.9404296875,14388.0595703125,14388.0595703125,96870400
2022-03-18,14374.41015625,14413.08984375,14109.7900390625,14413.08984375,14413.08984375,181197700
2022-03-21,14385.8203125,14457.2998046875,14306.259765625,14326.9697265625,14326.9697265625,69806300
2022-03-22,14365.669921875,14508.009765625,14343.33984375,14473.2001953125,14473.2001953125,79554100
2022-03-23,14532.83984375,14539.3095703125,14226.4296875,14283.650390625,14283.650390625,76384100
2022-03-24,14305.7998046875,14375.8203125,14187.8203125,14273.7900390625,14273.7900390625,77315500
2022-03-25,14332.259765625,14428.0302734375,14247.3798828125,14305.759765625,14305.759765625,73042400
2022-03-28,14376.0,14627.580078125,14371.900390625,14417.3701171875,14417.3701171875,70588000
2022-03-29,14592.740234375,14925.25,14553.7099609375,14820.330078125,14820.330078125,99659400
2022-03-30,14712.3203125,14744.7197265625,14555.8701171875,14606.0498046875,14606.0498046875,76506500
2022-03-31,14674.830078125,14732.0,14404.0302734375,14414.75,14414.75,88194400
2022-04-01,14447.7802734375,14506.01953125,14403.08984375,14446.48046875,14446.48046875,72477600
2022-04-04,14503.9599609375,14535.0703125,14334.099609375,14518.16015625,14518.16015625,69362800
2022-04-05,14504.7998046875,14603.4404296875,14347.330078125,14424.3603515625,14424.3603515625,79130600
2022-04-06,14402.16015625,14437.91015625,14027.1796875,14151.6904296875,14151.6904296875,104304600
2022-04-07,14187.1298828125,14315.349609375,14069.5302734375,14078.150390625,14078.150390625,84791200
2022-04-08,14275.8701171875,14321.8203125,14178.2802734375,14283.669921875,14283.669921875,74244800
2022-04-11,14162.9697265625,14298.01953125,14094.830078125,14192.7802734375,14192.7802734375,69814800
2022-04-12,13956.5595703125,14180.08984375,13887.1103515625,14124.9501953125,14124.9501953125,104676200
2022-04-13,14062.7001953125,14100.0302734375,13961.9501953125,14076.4404296875,14076.4404296875,80458200
2022-04-14,14098.48046875,14198.7802734375,14038.2998046875,14163.849609375,14163.849609375,87530500
2022-04-19,14057.4296875,14199.08984375,13991.7001953125,14153.4599609375,14153.4599609375,70608100
2022-04-20,14154.48046875,14362.0302734375,14149.6796875,14362.0302734375,14362.0302734375,75486900
2022-04-21,14376.0498046875,14598.1103515625,14374.58984375,14502.41015625,14502.41015625,78397500
2022-04-22,14320.509765625,14372.4697265625,14142.08984375,14142.08984375,14142.08984375,82415500
2022-04-25,13908.0498046875,14037.6298828125,13863.3896484375,13924.169921875,13924.169921875,85275400
2022-04-26,14087.080078125,14112.83984375,13749.6796875,13756.400390625,13756.400390625,98346100
2022-04-27,13760.2197265625,13849.4296875,13566.2001953125,13793.9404296875,13793.9404296875,134621900
2022-04-28,13907.0595703125,14074.7099609375,13822.16015625,13979.83984375,13979.83984375,97665400
2022-04-29,14095.9296875,14187.01953125,14038.5498046875,14097.8798828125,14097.8798828125,102033100
2022-05-02,13996.8203125,14036.1103515625,13778.1298828125,13939.0703125,13939.0703125,85974500
2022-05-03,13958.919921875,14081.150390625,13920.4599609375,14039.4697265625,14039.4697265625,86472700
2022-05-04,14020.900390625,14073.2099609375,13970.6201171875,13970.8203125,13970.8203125,71631100
2022-05-05,14282.76953125,14315.240234375,13857.580078125,13902.51953125,13902.51953125,86031700
2022-05-06,13832.650390625,13851.4501953125,13592.150390625,13674.2900390625,13674.2900390625,96547800
2022-05-09,13624.919921875,13697.900390625,13380.669921875,13380.669921875,13380.669921875,82759800
2022-05-10,13550.01953125,13719.9501953125,13514.490234375,13534.740234375,13534.740234375,84927900
2022-05-11,13587.2900390625,13829.099609375,13508.5595703125,13828.6396484375,13828.6396484375,107719800
2022-05-12,13512.1298828125,13808.08984375,13479.3603515625,13739.6396484375,13739.6396484375,110587600
2022-05-13,13837.419921875,14034.150390625,13795.6396484375,14027.9296875,14027.9296875,90805300
2022-05-16,13986.169921875,14043.099609375,13864.9501953125,13964.3798828125,13964.3798828125,67914800
2022-05-17,14072.669921875,14203.08984375,14056.98046875,14185.9404296875,14185.9404296875,71183700
2022-05-18,14197.1796875,14226.4697265625,13999.5400390625,14007.759765625,14007.759765625,69356900
